,framework,login,seguidores,numero_prs_criados,numero_merges,numero_prs_criado_mergeado,numero_prs_criado_n_mergeado,numero_prs_n_mergeado_fechado,numero_prs_fechado,numero_merges_exclude_auto_merge,numero_revisoes_exclude_auto_revisado,auto_revisado,tempo experiencia(dias)
0,Android,philipwalton,4222.0,0,1,0,0,0,1,1,1,0,0
1,Android,Meggin,109.0,0,1,0,0,0,1,1,1,0,0
2,Android,PaulKinlan,1665.0,0,1,0,0,0,1,1,1,0,0
3,Android,tjohns,291.0,0,1,0,0,0,1,1,1,0,0
4,Android,PaulRashidi,1206.0,0,1,0,0,0,1,1,1,0,0
5,Android,nlativy,79.0,0,2,0,0,0,2,2,2,0,20
6,Android,JoseAlcerreca,2160.0,0,3,0,0,1,4,3,4,0,373
7,Android,mcduan,2.0,0,4,0,0,0,4,4,4,0,282
8,Android,jin-liu,2.0,0,2,0,0,0,2,2,2,0,110
9,Android,cslink,1.0,0,1,0,0,0,1,1,1,0,0
10,Android,dereksalama,1.0,0,1,0,0,0,1,1,1,0,0
11,Android,jdgreenberg,,0,0,0,0,0,0,0,0,0,0
12,Android,ch40w31,,0,0,0,0,0,0,0,0,0,0
13,Android,tiembo,,0,0,0,0,0,0,0,0,0,0
14,Android,slinzner,422.0,0,1,0,0,1,2,1,2,0,1
15,Android,campoy,4182.0,0,1,0,0,1,2,1,2,0,12
16,Android,samthor,544.0,0,1,0,0,0,1,1,1,0,0
17,Android,hostirosti,,0,0,0,0,0,0,0,0,0,0
18,Android,mco-gh,,0,0,0,0,0,0,0,0,0,0
19,Android,caller9,3.0,0,6,0,0,0,6,6,6,0,143
20,Android,samtstern,1855.0,0,101,0,0,23,124,101,124,0,2056
21,Android,ulukaya,352.0,0,6,0,0,0,6,6,6,0,481
22,Android,ianbarber,379.0,0,5,0,0,1,6,5,6,0,266
23,Android,kroikie,124.0,0,4,0,0,2,6,4,6,0,193
24,Android,silvolu,148.0,0,2,0,0,1,3,2,3,0,99
25,Android,gguuss,154.0,0,1,0,0,0,1,1,1,0,0
26,Android,jscott1989,24.0,0,2,0,0,3,5,2,5,0,2
27,Android,tony-mak,10.0,0,2,0,0,1,3,2,3,0,574
28,Android,liuyl,21.0,0,1,0,0,0,1,1,1,0,0
29,Android,theoreticalb,11.0,0,1,0,0,0,1,1,1,0,0
30,Android,pchx,9.0,0,3,0,0,3,6,3,6,0,236
31,Android,claywilkinson,200.0,0,9,0,0,0,9,9,9,0,860
32,Android,tnorbye,831.0,0,8,0,0,1,9,8,9,0,901
33,Android,nageshs,,0,0,0,0,0,0,0,0,0,901
34,Android,grant,803.0,0,1,0,0,0,1,1,1,0,0
35,Android,leedenison,,0,0,0,0,0,0,0,0,0,0
36,Android,chkuang-g,11.0,0,6,0,0,1,7,6,7,0,372
37,Android,vimanyu,4.0,0,0,0,0,1,1,0,1,0,372
38,Android,stewartmiles,58.0,0,27,0,0,5,32,27,32,0,1187
39,Android,johnb003,5.0,0,1,0,0,0,1,1,1,0,0
40,Android,ggfan,93.0,0,9,0,0,1,10,9,10,0,893
41,Android,hak,,0,0,0,0,0,0,0,0,0,893
42,Android,pspencil,,0,0,0,0,0,0,0,0,0,893
43,Android,juliantoledo,,0,0,0,0,0,0,0,0,0,893
44,Android,proppy,371.0,0,11,0,0,1,12,11,12,0,645
45,Android,WilliamDenniss,113.0,0,2,0,0,0,2,2,2,0,618
46,Android,bretmcg,,0,0,0,0,0,0,0,0,0,618
47,Android,DougSig,,0,0,0,0,0,0,0,0,0,618
48,Android,jfschmakeit,79.0,0,2,0,0,5,7,2,7,0,1182
49,Android,Fleker,286.0,0,11,0,0,0,11,11,11,0,601
50,Android,WilliamHester,,0,0,0,0,0,0,0,0,0,601
51,Android,romanofranz,10.0,0,4,0,0,0,4,4,4,0,100
52,Android,nic0lette,306.0,0,11,0,0,0,11,11,11,0,1135
53,Android,Leo-Neat,,0,0,0,0,0,0,0,0,0,1135
54,Android,SigmanZero,2.0,0,1,0,0,0,1,1,1,0,0
55,Android,tikurahul,206.0,0,2,0,0,0,2,2,2,0,0
56,Android,kai-dream,,0,0,0,0,0,0,0,0,0,0
57,Android,brdaugherty,4.0,0,9,0,0,0,9,9,9,0,158
58,Android,idzkowski-google,,0,0,0,0,0,0,0,0,0,158
59,Android,jbolinger,20.0,0,2,0,0,0,2,2,2,0,177
60,Android,kpierzchalski,,0,0,0,0,0,0,0,0,0,177
61,Android,cs-googler,0.0,0,1,0,0,3,4,1,4,0,122
62,Android,zhouyiself,12.0,0,7,0,0,7,14,7,14,0,419
63,Android,swiyu,1.0,0,2,0,0,1,3,2,3,0,7
64,Android,calren,216.0,0,9,0,0,0,9,9,9,0,48
65,Android,sheepmaster,6.0,0,1,0,0,0,1,1,1,0,0
66,Android,ruofeidu,166.0,0,1,0,0,0,1,1,1,0,0
